ICAO,ВК,Часть,Вид,Кандидат,Аэропорт,Пассажиропоток,"Груз, тонн","Почта, тонн","Цена ТС-1, руб",Категория,Учитывать,Имя
UHHY,3,ОЧП,АН,False,Чумикан,3765,28.08,16.64,0,3,True,UHHY | Чумикан
UHSK,3,ОЧП,АН,True,Шахтерск,7939,6.54,0.0,0,1,True,UHSK | EKS | Шахтерск
HC3Y,3,ОЧП,АН,False,Шикотан,0,0.0,0.0,0,4,True,HC3Y | Малокурильское
UHBP,3,ОЧП,АН,False,Экимчан,385,2.003,0.0,0,2,True,UHBP | Экимчан | Экимчан
URWI,3,ОЧП,УА,True,Элиста,10898,8.16,0.02,80165,1,True,URWI | ESL | Элиста
UHSM,3,ОЧП,АН,True,Южно-Курильск,24348,65.59,25.7,70897,1,True,UHSM | DEE | Южно-Курильск | Менделеево
UHSS,3,ОЧП,УА,True,Южно-Сахалинск,985211,10556.14,1251.41,79460,1,True,UHSS | UUS | Южно-Сахалинск | Хомутово
UEEE,3,ОЧП,УА,True,Якутск,902463,10858.05,2225.73,73227,1,True,UEEE | YKS | Якутск
USMQ,2,ОЧП,АН,True,Ямбург,62419,1.31,0.0,69916,1,True,USMQ | Ямбург
UUDL,3,ОЧП,УА,True,Ярославль,23817,5811.95,0.0,56500,1,True,UUDL | IAR | Ярославль | Туношна
UHSI,3,ОЧП,АН,True,Ясный,24443,61.28,22.44,0,1,True,UHSI | ITU | Итуруп
ZFC7,1,ЗЧП,БН,True,Сухум,0,0.0,0.0,72000,1,True,ZFC7 | Сухум | Бабушара
UKCC,1,ЗЧП,БН,True,Донецк,0,0.0,0.0,0,1,False,UKCC | DOK | Донецк | Донецк
UKCW,1,ЗЧП,БН,True,Луганск,0,0.0,0.0,0,1,False,UKCW | VSG | Луганск | Луганск
UKDE,1,ЗЧП,БН,True,Запорожье,0,0.0,0.0,0,1,False,UKDE | OZH | Запорожье | Мокрая
UKOH,1,ЗЧП,БН,True,Херсон,0,0.0,0.0,0,1,False,UKOH | KHE | Херсон | Чернобаевка
UKCM,1,ЗЧП,БН,True,Мариуполь,0,0.0,0.0,0,1,False,UKCM | MPW | Мариуполь
